2025-07-17 23:26:55 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:27:24 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:29:59 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:30:15 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:39:48 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:41:44 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:45:03 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:45:46 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:47:06 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:47:19 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:51:35 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:51:57 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:57:36 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:58:14 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:58:34 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-17 23:59:13 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:25:03 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:25:21 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:25:31 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:26:12 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:26:26 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:27:58 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:49:13 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:50:09 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:50:36 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:51:31 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:51:32 | INFO     | Using in-memory SQLite database
2025-07-18 00:51:32 | INFO     | Using in-memory SQLite database
2025-07-18 00:51:33 | INFO     | Using in-memory SQLite database
2025-07-18 00:51:33 | INFO     | Using in-memory SQLite database
2025-07-18 00:51:33 | INFO     | Using in-memory SQLite database
2025-07-18 00:51:33 | INFO     | Using in-memory SQLite database
2025-07-18 00:51:33 | INFO     | Using in-memory SQLite database
2025-07-18 00:51:33 | INFO     | Using in-memory SQLite database
2025-07-18 00:51:33 | INFO     | Using in-memory SQLite database
2025-07-18 00:51:33 | INFO     | Using in-memory SQLite database
2025-07-18 00:52:08 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:52:08 | INFO     | Using in-memory SQLite database
2025-07-18 00:52:08 | INFO     | Using in-memory SQLite database
2025-07-18 00:52:09 | INFO     | Using in-memory SQLite database
2025-07-18 00:52:09 | INFO     | Using in-memory SQLite database
2025-07-18 00:52:09 | INFO     | Using in-memory SQLite database
2025-07-18 00:52:09 | INFO     | Using in-memory SQLite database
2025-07-18 00:52:09 | INFO     | Using in-memory SQLite database
2025-07-18 00:52:09 | INFO     | Using in-memory SQLite database
2025-07-18 00:52:09 | INFO     | Using in-memory SQLite database
2025-07-18 00:52:09 | INFO     | Using in-memory SQLite database
2025-07-18 00:52:28 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:52:29 | INFO     | Using in-memory SQLite database
2025-07-18 00:57:17 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:57:18 | INFO     | Using in-memory SQLite database
2025-07-18 00:57:18 | INFO     | Using in-memory SQLite database
2025-07-18 00:57:18 | INFO     | Using in-memory SQLite database
2025-07-18 00:57:18 | INFO     | Using in-memory SQLite database
2025-07-18 00:57:19 | INFO     | Using in-memory SQLite database
2025-07-18 00:57:19 | INFO     | Using in-memory SQLite database
2025-07-18 00:57:19 | INFO     | Using in-memory SQLite database
2025-07-18 00:57:19 | INFO     | Using in-memory SQLite database
2025-07-18 00:57:19 | INFO     | Using in-memory SQLite database
2025-07-18 00:57:19 | INFO     | Using in-memory SQLite database
2025-07-18 00:57:25 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 00:57:25 | INFO     | Using in-memory SQLite database
2025-07-18 01:04:31 | INFO     | Basic Memory 0.14.2 (Project: claude-depot-consolidated)
2025-07-18 01:04:31 | INFO     | Using in-memory SQLite database
2025-07-18 01:04:31 | INFO     | Initializing search index
2025-07-18 01:04:31 | INFO     | Initializing search index
2025-07-18 01:04:31 | INFO     | Initialized project session with default project: test-project
2025-07-18 01:04:31 | INFO     | Switched project context: test-project -> test-project
2025-07-18 01:04:31 | INFO     | Using in-memory SQLite database
2025-07-18 01:04:31 | INFO     | Initializing search index
2025-07-18 01:04:31 | INFO     | Initializing search index
